"","MPIOS","Region_natural"
"1",5001,"Andes"
"2",5002,"Andes"
"3",5004,"Andes"
"4",5021,"Andes"
"5",5030,"Andes"
"6",5031,"Andes"
"7",5034,"Andes"
"8",5036,"Andes"
"9",5038,"Andes"
"10",5040,"Andes"
"11",5042,"Andes"
"12",5044,"Andes"
"13",5045,"Andes"
"14",5051,"Caribe"
"15",5055,"Andes"
"16",5059,"Andes"
"17",5079,"Andes"
"18",5086,"Andes"
"19",5088,"Andes"
"20",5091,"Andes"
"21",5093,"Andes"
"22",5101,"Andes"
"23",5107,"Andes"
"24",5113,"Andes"
"25",5120,"Caribe"
"26",5125,"Andes"
"27",5129,"Andes"
"28",5134,"Andes"
"29",5138,"Andes"
"30",5142,"Andes"
"31",5145,"Andes"
"32",5147,"Pacífico"
"33",5148,"Andes"
"34",5150,"Andes"
"35",5154,"Caribe"
"36",5172,"Pacífico"
"37",5190,"Andes"
"38",5197,"Andes"
"39",5206,"Andes"
"40",5209,"Andes"
"41",5212,"Andes"
"42",5234,"Andes"
"43",5237,"Andes"
"44",5240,"Andes"
"45",5250,"Caribe"
"46",5264,"Andes"
"47",5266,"Andes"
"48",5282,"Andes"
"49",5284,"Andes"
"50",5306,"Andes"
"51",5308,"Andes"
"52",5310,"Andes"
"53",5313,"Andes"
"54",5315,"Andes"
"55",5318,"Andes"
"56",5321,"Andes"
"57",5347,"Andes"
"58",5353,"Andes"
"59",5360,"Andes"
"60",5361,"Andes"
"61",5364,"Andes"
"62",5368,"Andes"
"63",5376,"Andes"
"64",5380,"Andes"
"65",5390,"Andes"
"66",5400,"Andes"
"67",5411,"Andes"
"68",5425,"Andes"
"69",5440,"Andes"
"70",5467,"Andes"
"71",5475,"Pacífico"
"72",5480,"Andes"
"73",5483,"Andes"
"74",5490,"Caribe"
"75",5495,"Caribe"
"76",5501,"Andes"
"77",5541,"Andes"
"78",5543,"Andes"
"79",5576,"Andes"
"80",5579,"Caribe"
"81",5585,"Caribe"
"82",5591,"Caribe"
"83",5604,"Andes"
"84",5607,"Andes"
"85",5615,"Andes"
"86",5628,"Andes"
"87",5631,"Andes"
"88",5642,"Andes"
"89",5647,"Andes"
"90",5649,"Andes"
"91",5652,"Andes"
"92",5656,"Andes"
"93",5658,"Andes"
"94",5659,"Caribe"
"95",5660,"Andes"
"96",5664,"Andes"
"97",5665,"Caribe"
"98",5667,"Andes"
"99",5670,"Andes"
"100",5674,"Andes"
"101",5679,"Andes"
"102",5686,"Andes"
"103",5690,"Andes"
"104",5697,"Andes"
"105",5736,"Caribe"
"106",5756,"Andes"
"107",5761,"Andes"
"108",5789,"Andes"
"109",5790,"Andes"
"110",5792,"Andes"
"111",5809,"Andes"
"112",5819,"Andes"
"113",5837,"Pacífico"
"114",5842,"Andes"
"115",5847,"Andes"
"116",5854,"Andes"
"117",5856,"Andes"
"118",5858,"Andes"
"119",5861,"Andes"
"120",5873,"Pacífico"
"121",5885,"Andes"
"122",5887,"Andes"
"123",5890,"Andes"
"124",5893,"Caribe"
"125",5895,"Andes"
"126",8001,"Caribe"
"127",8078,"Caribe"
"128",8137,"Caribe"
"129",8141,"Caribe"
"130",8296,"Caribe"
"131",8372,"Caribe"
"132",8421,"Caribe"
"133",8433,"Caribe"
"134",8436,"Caribe"
"135",8520,"Caribe"
"136",8549,"Caribe"
"137",8558,"Caribe"
"138",8560,"Caribe"
"139",8573,"Caribe"
"140",8606,"Caribe"
"141",8634,"Caribe"
"142",8638,"Caribe"
"143",8675,"Caribe"
"144",8685,"Caribe"
"145",8758,"Caribe"
"146",8770,"Caribe"
"147",8832,"Caribe"
"148",8849,"Caribe"
"149",11001,"Andes"
"150",13001,"Caribe"
"151",13006,"Caribe"
"152",13030,"Caribe"
"153",13042,"Andes"
"154",13052,"Caribe"
"155",13062,"Caribe"
"156",13074,"Caribe"
"157",13140,"Caribe"
"158",13160,"Caribe"
"159",13188,"Caribe"
"160",13212,"Caribe"
"161",13222,"Caribe"
"162",13244,"Caribe"
"163",13248,"Caribe"
"164",13268,"Caribe"
"165",13300,"Caribe"
"166",13430,"Caribe"
"167",13433,"Caribe"
"168",13440,"Caribe"
"169",13442,"Caribe"
"170",13458,"Caribe"
"171",13468,"Caribe"
"172",13473,"Caribe"
"173",13549,"Caribe"
"174",13580,"Caribe"
"175",13600,"Caribe"
"176",13620,"Caribe"
"177",13647,"Caribe"
"178",13650,"Caribe"
"179",13654,"Caribe"
"180",13655,"Caribe"
"181",13657,"Caribe"
"182",13667,"Caribe"
"183",13670,"Caribe"
"184",13673,"Caribe"
"185",13683,"Caribe"
"186",13688,"Andes"
"187",13744,"Caribe"
"188",13760,"Caribe"
"189",13780,"Caribe"
"190",13810,"Caribe"
"191",13836,"Caribe"
"192",13838,"Caribe"
"193",13873,"Caribe"
"194",13894,"Caribe"
"195",15001,"Andes"
"196",15022,"Andes"
"197",15047,"Andes"
"198",15051,"Andes"
"199",15087,"Andes"
"200",15090,"Andes"
"201",15092,"Andes"
"202",15097,"Andes"
"203",15104,"Andes"
"204",15106,"Andes"
"205",15109,"Andes"
"206",15114,"Andes"
"207",15131,"Andes"
"208",15135,"Andes"
"209",15162,"Andes"
"210",15172,"Andes"
"211",15176,"Andes"
"212",15180,"Andes"
"213",15183,"Andes"
"214",15185,"Andes"
"215",15187,"Andes"
"216",15189,"Andes"
"217",15204,"Andes"
"218",15212,"Andes"
"219",15215,"Andes"
"220",15218,"Andes"
"221",15223,"Andes"
"222",15224,"Andes"
"223",15226,"Andes"
"224",15232,"Andes"
"225",15236,"Andes"
"226",15238,"Andes"
"227",15244,"Andes"
"228",15248,"Andes"
"229",15272,"Andes"
"230",15276,"Andes"
"231",15293,"Andes"
"232",15296,"Andes"
"233",15299,"Andes"
"234",15317,"Andes"
"235",15322,"Andes"
"236",15325,"Andes"
"237",15332,"Andes"
"238",15362,"Andes"
"239",15367,"Andes"
"240",15368,"Andes"
"241",15377,"Andes"
"242",15380,"Andes"
"243",15401,"Andes"
"244",15403,"Andes"
"245",15407,"Andes"
"246",15425,"Andes"
"247",15442,"Andes"
"248",15455,"Andes"
"249",15464,"Andes"
"250",15466,"Andes"
"251",15469,"Andes"
"252",15476,"Andes"
"253",15480,"Andes"
"254",15491,"Andes"
"255",15494,"Andes"
"256",15500,"Andes"
"257",15507,"Andes"
"258",15511,"Andes"
