MPIOS,Forest,Grasslands,Croplands,Other
44847,6000,549725,2175,188575
44560,0,151500,0,17000
44430,5750,103350,0,75775
44001,52875,60200,50,202400
44090,111775,27400,25,64350
47001,184800,19375,175,35650
44378,2050,4350,0,18400
44078,37325,15700,150,45900
47189,75700,4775,25,21450
08001,25,2750,375,9025
47745,0,18450,1025,78700
08573,200,4700,275,3200
44098,10400,7550,50,20075
44279,9300,6675,75,15625
44650,17000,48650,250,74400
47570,3450,1850,0,20350
08832,950,1900,50,13375
08296,0,1275,25,9200
08758,0,975,0,4225
08433,0,2000,25,9125
08372,100,6275,50,12500
20001,40775,144900,800,204400
47053,76625,29425,0,71950
08078,100,550,0,13275
08634,0,1075,25,2200
08558,0,75,0,7475
08549,600,5775,125,18025
08849,250,200,0,9225
13673,275,1425,75,6550
08685,0,200,0,6125
08520,0,725,75,4925
47268,2375,4325,0,15200
47605,225,9875,750,45825
08638,25,2850,25,42425
08560,0,5250,25,15450
08421,950,3725,25,26600
13001,1550,13600,50,59225
20570,21575,24825,0,99850
47551,425,8925,0,178300
44874,5250,6250,75,21500
44110,5250,0,0,4175
47288,26800,1400,0,51100
13222,25,200,0,9750
08606,525,5400,425,31525
47675,0,3450,75,15500
08141,0,4475,0,9325
44855,11925,4525,0,16625
08436,50,5875,250,16275
13683,25,175,0,13225
13873,625,125,0,15550
47258,0,5775,0,45575
08137,0,1700,175,8150
20621,18500,36975,650,86500
13647,100,5975,0,13700
20443,4875,800,0,14675
13760,0,800,0,7075
13620,0,1400,50,3225
13836,0,700,0,18125
20238,14025,11375,0,77400
08675,0,1450,0,5550
47161,0,6325,0,13500
13140,25,3125,175,21325
20750,2250,12875,225,16200
08770,0,300,25,3300
13052,2750,7875,0,45425
13433,25,2025,0,38850
13838,0,2400,0,16550
47541,0,9150,200,22925
47170,650,325,0,48175
20013,18425,46200,750,88950
13248,1325,2500,0,37525
70713,2150,3825,0,97325
13657,6600,775,0,58700
13442,75,5025,0,42400
20060,1000,35150,1150,23925
47798,25,6975,75,53300
47555,500,16750,125,132075
47058,2175,27450,0,81200
20045,17550,17375,825,105725
13654,3475,200,0,41475
13244,12050,450,0,71225
20250,1125,43450,50,45700
13894,7075,1525,0,21250
47707,475,27475,0,85925
47545,350,11125,0,66450
70508,1275,5525,0,44000
20400,9000,9150,150,54225
70230,2025,675,0,7300
13212,4675,22025,350,24050
70823,1125,1475,0,24575
70204,2300,850,0,10775
20178,6425,24825,0,74100
20032,0,3900,0,54950
70717,0,20925,0,1750
20175,7925,8725,0,134600
70418,1575,12700,0,9375
70473,1050,3225,0,13175
47692,75,2525,0,40150
47703,25,2850,0,25050
13430,25,50100,225,82875
70110,0,9075,0,2700
23672,225,350,0,22200
23675,750,1950,0,32750
70001,0,1675,0,29600
13780,0,2450,0,10675
70742,0,18050,0,20425
70523,25,425,0,24250
70702,0,14725,0,10750
20228,13550,5975,0,77400
47318,25,5000,0,52025
70215,0,16550,0,9525
47245,25,13575,0,68350
23500,0,125,0,28875
23417,225,5275,0,82675
23586,0,700,0,10750
23464,0,150,0,11825
13468,0,15350,0,46500
13188,0,1150,0,5600
54245,119675,975,0,60400
23670,0,500,0,28375
54206,61650,175,0,33700
13650,0,15850,0,20800
70670,0,6100,0,18050
23168,225,5675,0,28250
13440,25,15775,0,27075
70235,0,5450,0,22600
23300,0,450,0,16750
23182,0,5450,0,53475
54800,61025,50,0,23600
23574,0,250,0,45850
54810,208425,4050,0,59675
70678,0,58125,25,95725
23686,0,150,0,44875
20787,0,17600,100,51850
13549,50,16725,0,60750
20517,3975,2425,0,39575
70771,0,33400,0,71150
23189,0,450,0,64175
13300,0,8975,0,6175
23660,0,800,0,88400
13268,2450,7400,0,41450
13667,1875,725,0,26850
23419,50,125,0,31550
23162,0,0,0,24925
13074,1275,7325,0,32950
23001,175,1250,0,308875
70124,0,22575,0,23500
05051,300,450,0,49500
20550,5625,2400,850,34200
70400,0,3575,0,20500
23678,0,125,0,50000
23090,0,0,0,49150
54250,45075,50,0,20175
13030,650,9625,0,17500
13580,25,2325,0,13075
05659,75,650,0,32175
13006,5700,28925,100,56750
20383,7025,9125,1350,64150
70429,175,47825,125,32700
70708,25,35925,50,78575
05490,11325,10300,0,99675
13600,84025,14400,0,81500
27006,59600,2275,0,21450
13810,39075,1375,0,47625
05665,2200,800,0,70200
23570,425,3375,0,87125
54670,19675,800,0,24700
23555,0,0,0,103050
70265,1675,17000,25,19050
20011,2400,12825,0,78225
23068,1025,29550,0,169250
54344,17400,125,0,18925
20295,0,16225,25,23750
13473,17700,24700,0,60300
13458,194125,200,0,11800
20310,525,2300,0,5675
54720,86050,375,0,50525
05837,66300,24950,0,236275
23855,6000,3725,0,84950
54001,15450,3475,15175,67750
54498,900,4050,0,33850
13655,26250,16525,25,21125
54553,600,425,2375,5775
27800,53325,11525,0,49675
23079,50,1200,0,88100
23807,369425,8850,225,136625
54398,1100,3400,0,22650
20614,825,3375,50,43125
13042,10025,550,0,10725
54261,9200,800,1200,40600
54003,24200,11850,0,120100
05495,4725,10825,0,34425
54109,8900,25,0,14900
23466,57050,3050,0,173125
05250,141275,7400,0,47950
13744,12000,11900,0,157725
23350,0,50,0,31000
68575,18750,27700,0,125850
13688,182725,950,0,69775
20770,650,10200,25,73575
54871,5725,1550,0,31575
05045,28875,9825,0,19800
05154,4125,4175,0,126200
20710,11325,1825,75,63075
54418,3875,0,0,7025
54313,2925,0,0,13650
05120,52450,3100,0,151800
23580,68450,3500,50,69150
54680,1275,0,0,14050
54673,4325,825,175,10300
27615,552900,6625,0,50375
05147,3525,8750,25,12800
54660,30025,525,0,17650
54874,2050,475,0,8500
54128,15825,875,0,56175
54239,7875,0,0,10800
54405,1425,0,0,6250
54385,3325,1800,0,49150
05172,15175,9225,0,50075
05790,87175,1175,0,89475
54099,10175,0,0,8425
68615,9100,4300,0,96250
54051,22150,1975,0,27225
05895,52950,5175,0,45700
68655,11925,6050,0,100825
54172,6725,50,0,11700
54599,1850,0,0,4900
68780,2500,0,0,14300
54223,16500,5150,0,18450
68255,14225,50,0,25200
54520,1500,475,0,15275
54347,5475,0,0,3175
13670,97075,750,0,18050
68132,3050,975,0,8400
27372,127725,0,0,11525
05736,105725,2550,0,15475
68867,2925,1325,0,12050
54820,88200,425,0,56725
68444,13200,75,0,15500
13160,77275,3625,0,29375
54518,1850,4825,0,22500
05040,85175,25,0,58300
05854,12475,150,0,41500
05361,147025,250,0,69000
68406,6925,2650,0,44500
54377,10825,2100,0,12300
54480,50,6800,0,7525
68169,1875,75,0,8700
54125,75,4950,0,8300
54743,950,28875,0,12100
05031,61675,550,0,57725
05893,34650,18325,0,132250
68307,7725,6450,0,52975
05604,102625,7700,0,84975
68820,6625,9475,0,15175
05887,15600,250,0,58750
54174,45500,18700,0,53100
68001,675,50,0,16425
68081,10425,7925,0,109450
05107,11525,0,0,24975
05543,17975,300,0,21600
05234,142775,1975,175,40725
05134,2075,100,0,19400
68689,28250,175,0,77325
68276,1500,300,0,8200
68092,14125,1350,0,25350
68547,7875,5650,0,32075
05819,1825,0,0,12400
81001,6075,6725,0,509150
68705,9475,475,0,11025
05628,4600,1000,0,19975
81736,24125,700,0,61125
81065,21725,4025,0,283925
68318,5475,5150,0,15150
05842,7500,425,0,16575
15223,104525,10350,0,14750
05475,113400,600,425,16700
05647,5725,25,0,11425
05138,15875,75,0,31350
68162,225,22450,0,18050
68895,5000,6425,0,28675
05113,4825,250,0,26300
05858,15650,450,0,37650
05038,6550,1125,0,29175
05315,75,225,0,8075
68745,27825,2275,0,67775
68669,2400,1225,0,22950
05284,87350,675,0,45400
05658,4400,300,0,13225
05310,2725,1850,0,34800
68207,1425,9300,0,21500
68418,0,13800,0,15075
27099,332050,1425,475,27350
68235,38750,350,0,58300
05686,1850,1300,0,85175
68573,13100,6200,0,61600
81300,52775,28275,0,91350
05873,159450,925,1475,17500
15180,8875,31425,0,33725
05150,3900,0,0,13500
05890,18275,575,0,71600
68051,0,4150,0,11475
27075,83800,325,200,13825
68160,200,2350,0,11175
05411,3850,800,0,19625
05086,10850,775,0,19750
