AREA,PERIMETER,WCOLGEN02_,WCOLGEN021,DPTO,NOMBRE_DPT,MPIO,NOMBRE_MPI,NOMBRE_CAB,CLASEMUN,MPIOS,ZONA,OF_REG,REG_ZONAS,HECTARES,_ID
7516765785.59,475636.130236,2,566,44,LA GUAJIRA,847,URIBIA,URIBIA,CM,44847,ZONA06,DABAR,DABARZONA06,751676.579,1
1624662825.92,195961.387498,5,564,44,LA GUAJIRA,560,MANAURE,MANAURE,CM,44560,ZONA06,DABAR,DABARZONA06,162466.283,2
1779933850.42,272174.538806,6,563,44,LA GUAJIRA,430,MAICAO,MAICAO,CM,44430,ZONA06,DABAR,DABARZONA06,177993.385,3
3109950428.25,267346.564817,7,559,44,LA GUAJIRA,001,RIOHACHA,RIOHACHA,CM,44001,ZONA06,DABAR,DABARZONA06,310995.043,4
1999866414.69,198794.872346,8,1052,44,LA GUAJIRA,090,DIBULLA,DIBULLA,CM,44090,ZONA06,DABAR,DABARZONA06,199986.641,5
2367555421.52,237308.615881,9,485,47,MAGDALENA,001,SANTA MARTA,"DISTRITO TURISTICO,CULTURAL E HISTORICO DE SANTA MARTA",CM,47001,ZONA07,DABAR,DABARZONA07,236755.542,6
238578523.956,103165.578166,10,560,44,LA GUAJIRA,378,HATONUEVO,HATONUEVO,CM,44378,ZONA06,DABAR,DABARZONA06,23857.852,7
1023485204.73,148403.710693,11,560,44,LA GUAJIRA,078,BARRANCAS,BARRANCAS,CM,44078,ZONA06,DABAR,DABARZONA06,102348.52,8
1010395727.67,188257.615946,12,490,47,MAGDALENA,189,CIENAGA,CIENAGA,CM,47189,ZONA07,DABAR,DABARZONA07,101039.573,9
122393866.4,54760.1703091,13,464,08,ATLANTICO,001,BARRANQUILLA,"DISTRITO ESPECIAL, INDUSTRIAL Y PORTUARIO DE BARRANQUILLA",CM,08001,ZONA01,DABAR,DABARZONA01,12239.387,10
947914209.604,148004.86414,14,464,47,MAGDALENA,745,SITIONUEVO,SITIONUEVO,CM,47745,ZONA07,DABAR,DABARZONA07,94791.421,11
84932393.9887,44145.442719,15,475,08,ATLANTICO,573,PUERTO COLOMBIA,PUERTO COLOMBIA,CM,08573,ZONA01,DABAR,DABARZONA01,8493.239,12
366988717.141,93287.27451639999,16,1053,44,LA GUAJIRA,098,DISTRACCION,DISTRACCION,CM,44098,ZONA06,DABAR,DABARZONA06,36698.872,13
382884516.743,127364.606977,17,562,44,LA GUAJIRA,279,FONSECA,FONSECA,CM,44279,ZONA06,DABAR,DABARZONA06,38288.452,14
1407790458.29,258034.114024,18,565,44,LA GUAJIRA,650,SAN JUAN DEL CESAR,SAN JUAN DEL CESAR,CM,44650,ZONA06,DABAR,DABARZONA06,140779.046,15
629310978.699,126898.588998,19,1027,47,MAGDALENA,570,PUEBLOVIEJO,PUEBLOVIEJO,CM,47570,ZONA07,DABAR,DABARZONA07,62931.098,16
158209937.776,55260.4459727,20,482,08,ATLANTICO,832,TUBARA,TUBARA,CM,08832,ZONA01,DABAR,DABARZONA01,15820.994,17
101846175.045,39809.7242715,21,468,08,ATLANTICO,296,GALAPA,GALAPA,CM,08296,ZONA01,DABAR,DABARZONA01,10184.618,18
50697119.419,32463.0942394,22,481,08,ATLANTICO,758,SOLEDAD,SOLEDAD,CM,08758,ZONA01,DABAR,DABARZONA01,5069.712,19
107104262.425,44385.1055041,23,471,08,ATLANTICO,433,MALAMBO,MALAMBO,CM,08433,ZONA01,DABAR,DABARZONA01,10710.426,20
184295757.109,63871.045889,24,469,08,ATLANTICO,372,JUAN DE ACOSTA,JUAN DE ACOSTA,CM,08372,ZONA01,DABAR,DABARZONA01,18429.576,21
3781253251.41,372879.068143,25,535,20,CESAR,001,VALLEDUPAR,VALLEDUPAR,CM,20001,ZONA05,DABAR,DABARZONA05,378125.325,22
1721647139.05,232413.478995,26,486,47,MAGDALENA,053,ARACATACA,ARACATACA,CM,47053,ZONA07,DABAR,DABARZONA07,172164.714,23
134235904.064,52031.3150262,27,465,08,ATLANTICO,078,BARANOA,BARANOA,CM,08078,ZONA01,DABAR,DABARZONA01,13423.59,24
31852967.2041,23797.6371019,28,477,08,ATLANTICO,634,SABANAGRANDE,SABANAGRANDE,CM,08634,ZONA01,DABAR,DABARZONA01,3185.297,25
72804342.906,36022.6501142,29,474,08,ATLANTICO,558,POLONUEVO,POLONUEVO,CM,08558,ZONA01,DABAR,DABARZONA01,7280.434,26
243768682.88,68138.657521,30,473,08,ATLANTICO,549,PIOJO,PIOJO,CM,08549,ZONA01,DABAR,DABARZONA01,24376.868,27
93928871.8492,40001.8583042,31,483,08,ATLANTICO,849,USIACURI,USIACURI,CM,08849,ZONA01,DABAR,DABARZONA01,9392.887000000001,28
91863669.6534,50020.9405963,32,522,13,BOLIVAR,673,SANTA CATALINA,SANTA CATALINA,CM,13673,ZONA03,DABAR,DABARZONA03,9186.367,29
61150858.3837,35010.5572494,33,480,08,ATLANTICO,685,SANTO TOMAS,SANTO TOMAS,CM,08685,ZONA01,DABAR,DABARZONA01,6115.086,30
56256078.7535,35011.1724915,34,987,08,ATLANTICO,520,PALMAR DE VARELA,PALMAR DE VARELA,CM,08520,ZONA01,DABAR,DABARZONA01,5625.608,31
210799039.059,59901.0903881,35,1060,47,MAGDALENA,268,EL RETEN,EL RETEN,CM,47268,ZONA07,DABAR,DABARZONA07,21079.904,32
547723233.561,97588.5827596,36,498,47,MAGDALENA,605,REMOLINO,REMOLINO,CM,47605,ZONA07,DABAR,DABARZONA07,54772.323,33
437436185.15,86957.1093006,37,478,08,ATLANTICO,638,SABANALARGA,SABANALARGA,CM,08638,ZONA01,DABAR,DABARZONA01,43743.619,34
198993785.417,70846.42610120001,38,1026,08,ATLANTICO,560,PONEDERA,PONEDERA,CM,08560,ZONA01,DABAR,DABARZONA01,19899.379,35
303617935.538,86946.4595592,39,470,08,ATLANTICO,421,LURUACO,LURUACO,CM,08421,ZONA01,DABAR,DABARZONA01,30361.794,36
790423986.818,244827.583004,40,505,13,BOLIVAR,001,CARTAGENA,DISTRITO TURISTICO Y CULTURAL DE CARTAGENA DE INDIAS,CM,13001,ZONA03,DABAR,DABARZONA03,79042.399,37
1414931201.54,218787.609279,41,1075,20,CESAR,570,PUEBLO BELLO,PUEBLO BELLO,CM,20570,ZONA05,DABAR,DABARZONA05,141493.12,38
1814894829.16,182313.047241,42,496,47,MAGDALENA,551,PIVIJAY,PIVIJAY,CM,47551,ZONA07,DABAR,DABARZONA07,181489.483,39
