idmun,newid,year,idstate,newids,state,municipality,coca_,id,asp_,er_,pop_,popr_,popu_,pserv,ver,victim,npark,elevation_,precipitat_,resguardo,ipc,conflict,sipcc,infrastructurepcc,humancappcc,propertypcc,gaspcc,royaltiespcc,cofinancingpcc,induscomerpcc,nontaxincomepcc,dpark,dresguardo,delta_coca,qrt_ppasta_1,qrt_ppasta_2,qrt_ppasta_3,qrt_ppasta_4,qrt_ppasta_m
05001,5001,2001,05,5,Antioquia,Medellín,0,050012001,0,0,2098618,49479,2049139,64.05835,0,505,,2072.04,1943.1801,0,66.730003,.24063455,205.72171,80.457497,125.26421,109.95337,30.222965,.096809655,.56170142,80.175133,36.173553,0,0,,0,0,0,0,1
05001,5001,2002,05,5,Antioquia,Medellín,0,050012002,0,0,2129874,46566,2083308,70.799698,0,1832,,2072.04,1943.1801,0,71.400002,.86014479,354.07825,138.21053,215.86771,108.28271,29.638927,0,0,83.761826,44.072392,0,0,0,0,0,0,0,1
05001,5001,2003,05,5,Antioquia,Medellín,0,050012003,0,0,2159609,43816,2115793,70.84568,0,234,,2072.04,1943.1801,0,76.029999,.10835294,406.59903,118.63029,287.96875,111.92105,34.462536,.23678969,0,83.390953,114.35129,0,0,0,0,0,0,0,1
05001,5001,2004,05,5,ANTIOQUIA,MEDELLIN,0,050012004,0,0,2187831,41233,2146598,74.116966,0,91,,2072.04,1943.1801,0,80.209999,.041593708,523.87744,169.88815,353.98926,131.70238,39.908386,.0042510536,0,92.063339,244.46121,0,0,0,0,0,0,0,1
05001,5001,2005,05,5,ANTIOQUIA,MEDELLIN,0,050012005,0,0,2214494,38813,2175681,75.719803,0,18,,2072.04,1943.1801,0,84.099998,.0081282677,644.40137,190.29031,454.11105,139.75273,43.479691,.018740442,0,101.27982,272.72202,0,0,0,0,0,0,0,1
05001,5001,2006,05,5,ANTIOQUIA,MEDELLIN,0,050012006,0,0,2239003,37668,2201335,77.585655,0,86,,2072.04,1943.1801,0,87.870003,.038409952,846.98138,324.48019,522.5011,155.68625,45.458584,.010919929,0,138.48878,253.88283,0,0,0,0,1,0,0,0
05001,5001,2007,05,5,ANTIOQUIA,MEDELLIN,0,050012007,0,0,2265244,36575,2228669,80.658569,0,42,,2072.04,1943.1801,0,92.870003,.018541049,833.07422,317.46802,515.6062,142.70735,45.058186,.015701143,0,142.66078,280.99756,0,0,0,0,0,0,1,0
05001,5001,2008,05,5,ANTIOQUIA,MEDELLIN,0,050012008,0,0,2291378,35533,2255845,80.819466,0,64,,2072.04,1943.1801,0,100,.027930791,983.95581,334.72366,649.23212,138.83884,41.705631,.022020373,0,146.45409,79.942917,0,0,0,1,0,0,0,0
05001,5001,2009,05,5,ANTIOQUIA,MEDELLIN,0,050012009,0,3,2317336,34542,2282794,75.909523,0,218,,2072.04,1943.1801,0,102,.094073541,1092.5624,366.96005,725.60229,152.15552,38.069717,.053667944,0,152.77734,76.786507,0,0,0,0,0,1,0,0
05001,5001,2010,05,5,ANTIOQUIA,MEDELLIN,0,050012010,0,0,2343049,33603,2309446,89.432892,0,36,,2072.04,1943.1801,0,105.24,.015364596,1202.2206,494.75995,707.46063,146.47783,35.418404,.01920169,0,152.51907,97.841934,0,0,0,0,0,1,0,0
