MPIOS,Region
5001,Andes
5002,Andes
5004,Andes
5021,Andes
5030,Andes
5031,Andes
5034,Andes
5036,Andes
5038,Andes
5040,Andes
5042,Andes
5044,Andes
5045,Andes
5051,Caribbean
5055,Andes
5059,Andes
5079,Andes
5086,Andes
5088,Andes
5091,Andes
5093,Andes
5101,Andes
5107,Andes
5113,Andes
5120,Caribbean
5125,Andes
5129,Andes
5134,Andes
5138,Andes
5142,Andes
5145,Andes
5147,Choco
5148,Andes
5150,Andes
5154,Caribbean
5172,Choco
5190,Andes
5197,Andes
5206,Andes
5209,Andes
5212,Andes
5234,Andes
5237,Andes
5240,Andes
5250,Caribbean
5264,Andes
5266,Andes
5282,Andes
5284,Andes
5306,Andes
5308,Andes
5310,Andes
5313,Andes
5315,Andes
5318,Andes
5321,Andes
5347,Andes
5353,Andes
5360,Andes
5361,Andes
5364,Andes
5368,Andes
5376,Andes
5380,Andes
5390,Andes
5400,Andes
5411,Andes
5425,Andes
5440,Andes
5467,Andes
5475,Choco
5480,Andes
5483,Andes
5490,Caribbean
5495,Caribbean
5501,Andes
5541,Andes
5543,Andes
5576,Andes
5579,Caribbean
5585,Caribbean
5591,Caribbean
5604,Andes
5607,Andes
5615,Andes
5628,Andes
5631,Andes
5642,Andes
5647,Andes
5649,Andes
5652,Andes
5656,Andes
5658,Andes
5659,Caribbean
5660,Andes
5664,Andes
5665,Caribbean
5667,Andes
5670,Andes
5674,Andes
5679,Andes
5686,Andes
5690,Andes
5697,Andes
5736,Caribbean
5756,Andes
5761,Andes
5789,Andes
5790,Andes
5792,Andes
5809,Andes
5819,Andes
5837,Choco
5842,Andes
5847,Andes
5854,Andes
5856,Andes
5858,Andes
5861,Andes
5873,Choco
5885,Andes
5887,Andes
5890,Andes
5893,Caribbean
5895,Andes
8001,Caribbean
8078,Caribbean
8137,Caribbean
8141,Caribbean
8296,Caribbean
8372,Caribbean
8421,Caribbean
8433,Caribbean
8436,Caribbean
8520,Caribbean
8549,Caribbean
8558,Caribbean
8560,Caribbean
8573,Caribbean
8606,Caribbean
8634,Caribbean
8638,Caribbean
8675,Caribbean
8685,Caribbean
8758,Caribbean
8770,Caribbean
8832,Caribbean
8849,Caribbean
11001,Andes
13001,Caribbean
13006,Caribbean
13030,Caribbean
13042,Andes
13052,Caribbean
13062,Caribbean
13074,Caribbean
13140,Caribbean
13160,Caribbean
13188,Caribbean
13212,Caribbean
13222,Caribbean
13244,Caribbean
13248,Caribbean
13268,Caribbean
13300,Caribbean
13430,Caribbean
13433,Caribbean
13440,Caribbean
13442,Caribbean
13458,Caribbean
13468,Caribbean
13473,Caribbean
13549,Caribbean
13580,Caribbean
13600,Caribbean
13620,Caribbean
13647,Caribbean
13650,Caribbean
13654,Caribbean
